Titulo,Autores,Categoria,Calificacion,Precio,"In Stock",Link
"The Songs of the Gods","Donald Bahr, Juan Smith, William Smith Allison, Julian Hayden",Default,5,Â£44.48,"In stock",https://books.toscrape.com/catalogue/the-songs-of-the-gods_763/index.html
"The Song of Achilles","Madeline Miller","Add a comment",5,Â£37.40,"In stock",https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html
"The Rosie Project (Don Tillman #1)","Trivion Books",Default,1,Â£54.04,"In stock",https://books.toscrape.com/catalogue/the-rosie-project-don-tillman-1_761/index.html
"The Power of Habit: Why We Do What We Do in Life and Business","Charles Duhigg",Default,3,Â£16.88,"In stock",https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html
"The Marriage of Opposites","Alice Hoffman","Historical Fiction",4,Â£28.08,"In stock",https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
"The Lucifer Effect: Understanding How Good People Turn Evil","Philip Zimbardo",Psychology,1,Â£10.40,"In stock",https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html
"The Long Haul (Diary of a Wimpy Kid #9)","Jeff Kinney",Humor,1,Â£44.07,"In stock",https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html
"The Loney","Andrew Michael Hurley",Horror,1,Â£23.40,"In stock",https://books.toscrape.com/catalogue/the-loney_756/index.html
"The Literature Book (Big Ideas Simply Explained)","James Canton, Sam Atkinson",Nonfiction,3,Â£17.43,"In stock",https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html
"The Last Mile (Amos Decker #2)","David Baldacci",Mystery,2,Â£54.21,"In stock",https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
"The Immortal Life of Henrietta Lacks","Libros Maestros","Add a comment",2,Â£40.67,"In stock",https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html
"The Hidden Oracle (The Trials of Apollo #1)","Rick Riordan",Fantasy,2,Â£52.26,"In stock",https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html
"The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth","Ruby Roth","Food and Drink",3,Â£28.77,"In stock",https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html
"The Guilty (Will Robie #4)","David Baldacci",Thriller,2,Â£13.82,"In stock",https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html
"The First Hostage (J.B. Collins #2)","Joel C. Rosenberg",Fiction,3,Â£25.85,"In stock",https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
"The Dovekeepers","Alice Hoffman","Add a comment",1,Â£48.78,"In stock",https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html
"The Darkest Lie","Gena Showalter","Young Adult",5,Â£35.35,"In stock",https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
"The Bane Chronicles (The Bane Chronicles #1-11)","Cassandra Clare, Sarah Rees Brennan, Maureen Johnson",Fantasy,4,Â£44.73,"In stock",https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html
"The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâ??s Most Precious Manuscripts","Harrison Akins",Nonfiction,1,Â£15.77,"In stock",https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html
"The 14th Colony (Cotton Malone #11)","Steve Berry",Thriller,1,Â£39.24,"In stock",https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html
"That Darkness (Gardiner and Renner #1)","Lisa Black",Mystery,1,Â£13.92,"In stock",https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
"Tastes Like Fear (DI Marnie Rome #3)","Sarah Hilary",Mystery,1,Â£10.69,"In stock",https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
"Take Me with You","K.A. Linde",Fiction,3,Â£45.21,"In stock",https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
"Swell: A Year of Waves","Evan Slater",Nonfiction,1,Â£45.58,"In stock",https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html
"Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)","Gene Luen Yang","Sequential Art",5,Â£11.89,"In stock",https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
"Still Life with Bread Crumbs","Anna Quindlen",Fiction,3,Â£26.41,"In stock",https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
"Steve Jobs","MAX EDITORIAL",Default,5,Â£39.50,"In stock",https://books.toscrape.com/catalogue/steve-jobs_737/index.html
"Sorting the Beef from the Bull: The Science of Food Fraud Forensics","Richard Evershed, Nicola Temple",Science,4,Â£44.74,"In stock",https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
"Someone Like You (The Harrisons #2)","Jennifer Gracen",Contemporary,5,Â£52.79,"In stock",https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)","Go Ikeyamada","Sequential Art",4,Â£35.43,"In stock",https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Shtum,"Jem Lester",Fiction,4,Â£55.84,"In stock",https://books.toscrape.com/catalogue/shtum_733/index.html
"See America: A Celebration of Our National Parks & Treasured Sites","Creative Action Network, National Parks Conservation Association",Travel,3,Â£48.87,"In stock",https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
salt.,"Mark Kurlansky",Poetry,4,Â£46.78,"In stock",https://books.toscrape.com/catalogue/salt_731/index.html
"Robin War","Lee Bermejo, Tom King, Patrick Gleason, Ray Fawkes","Sequential Art",3,Â£47.82,"In stock",https://books.toscrape.com/catalogue/robin-war_730/index.html
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)","Scott Lobdell","Sequential Art",2,Â£25.48,"In stock",https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
"Rain Fish","Lois Ehlert",Childrens,3,Â£23.57,"In stock",https://books.toscrape.com/catalogue/rain-fish_728/index.html
"Quarter Life Poetry: Poems for the Young, Broke and Hangry","Samantha Jayne",Poetry,5,Â£50.89,"In stock",https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
"Pet Sematary","STEPHEN. KING",Horror,3,Â£10.56,"In stock",https://books.toscrape.com/catalogue/pet-sematary_726/index.html
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress","Joyce Meyer","Self Help",3,Â£52.15,"In stock",https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html
"Once Was a Time","Leila Sales",Childrens,2,Â£18.28,"In stock",https://books.toscrape.com/catalogue/once-was-a-time_724/index.html
"Old School (Diary of a Wimpy Kid #10)","Jeff Kinney",Humor,5,Â£11.83,"In stock",https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
"No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon","Buzz Aldrin, Ken Abraham",Nonfiction,2,Â£21.95,"In stock",https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)","Masashi Kishimoto","Sequential Art",2,Â£38.39,"In stock",https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
"My Name Is Lucy Barton","Elizabeth Strout",Fiction,1,Â£41.56,"In stock",https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
"My Mrs. Brown","William Norwich, William D. Norwich",Fiction,3,Â£24.48,"In stock",https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
"My Kind of Crazy","Katie O'Sullivan","Young Adult",1,Â£40.36,"In stock",https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
"Mr. Mercedes (Bill Hodges Trilogy #1)","Stephen King",Fiction,1,Â£28.90,"In stock",https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
"More Than Music (Chasing the Dream #1)","Elizabeth Briggs","Add a comment",2,Â£37.61,"In stock",https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html
"Made to Stick: Why Some Ideas Survive and Others Die","Chip Heath, Dan Heath",Business,5,Â£38.85,"In stock",https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html
"Luis Paints the World","Terry Farish",Childrens,3,Â£53.95,"In stock",https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
"Luckiest Girl Alive","Jessica Knoll",Default,3,Â£49.83,"In stock",https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html
"Lowriders to the Center of the Earth (Lowriders in Space #2)","Cathy Camper","Sequential Art",2,Â£51.51,"In stock",https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
"Love Is a Mix Tape (Music #1)","Everest Media",Music,1,Â£18.03,"In stock",https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html
"Looking for Lovely: Collecting the Moments that Matter","Annie F. Downs",Nonfiction,5,Â£29.14,"In stock",https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments","Gardner E. Daniel",Default,4,Â£46.91,"In stock",https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html
"Let It Out: A Journey Through Journaling","Katie Dalebout",Nonfiction,5,Â£26.79,"In stock",https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
"Lady Midnight (The Dark Artifices #1)","Cassandra Clare",Default,5,Â£16.28,"In stock",https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes","Gwyneth Paltrow, Thea Baumann","Food and Drink",1,Â£19.55,"In stock",https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html
"Island of Dragons (Unwanteds #7)","Lisa McMann",Fantasy,1,Â£29.65,"In stock",https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html
"I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction","Jen Kirkman",Humor,4,Â£25.98,"In stock",https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html
"I Am Pilgrim (Pilgrim #1)","Terry Hayes",Fiction,4,Â£10.60,"In stock",https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Allie Brosh",Humor,5,Â£14.75,"In stock",https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
"Hush, Hush (Hush, Hush #1)","Linda Fairchild",Default,3,Â£47.02,"In stock",https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html
"Hold Your Breath (Search and Rescue #1)","Katie Ruggle",Romance,1,Â£28.82,"In stock",https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
"Hamilton: The Revolution","Lin-Manuel Miranda, Jeremy McCarter",Nonfiction,3,Â£58.79,"In stock",https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html
"Greek Mythic History","History Brought Alive",Default,5,Â£10.23,"In stock",https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
"God: The Most Unpleasant Character in All Fiction","Dan Barker",Religion,5,Â£30.03,"In stock",https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
"Glory over Everything: Beyond The Kitchen House","Kathleen Grissom","Historical Fiction",3,Â£45.84,"In stock",https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Feathers: Displays of Brilliant Plumage","Robert Clark",Art,3,Â£49.05,"In stock",https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years","Andrew Solomon",Nonfiction,4,Â£15.06,"In stock",https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
"Every Last Word","Tamara Ireland Stone",Default,3,Â£46.47,"In stock",https://books.toscrape.com/catalogue/every-last-word_693/index.html
"Eligible (The Austen Project #4)","Curtis Sittenfeld",Fiction,3,Â£27.09,"In stock",https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
"El Deafo","Cece Bell","Sequential Art",5,Â£57.62,"In stock",https://books.toscrape.com/catalogue/el-deafo_691/index.html
"Eight Hundred Grapes","Laura Dave",Fiction,4,Â£14.39,"In stock",https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life","Jason Wrobel",Nonfiction,5,Â£51.75,"In stock",https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html
"Eat Fat, Get Thin","Dr. Mark Hyman",Health,2,Â£54.07,"In stock",https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html
"Don't Get Caught","Carter Cullen","Young Adult",1,Â£55.35,"In stock",https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
"Doctor Sleep (The Shining #2)","Stephen King",Horror,2,Â£40.12,"In stock",https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html
"Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3)","Rick Riordan",Fantasy,5,Â£37.51,"In stock",https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html
"Dear Mr. Knightley","Katherine Reay",Fiction,5,Â£11.21,"In stock",https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
"Daily Fantasy Sports","Bill Ordine",Default,1,Â£36.58,"In stock",https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan",Christian,2,Â£47.72,"In stock",https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html
"Cometh the Hour (The Clifton Chronicles #6)","Jeffrey Archer",Fiction,3,Â£25.01,"In stock",https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
"Code Name Verity (Code Name Verity #1)","Elizabeth Wein","Add a comment",4,Â£22.13,"In stock",https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html
"Clockwork Angel (The Infernal Devices #1)","Cassandra Clare",Default,1,Â£44.14,"In stock",https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html
"City of Glass (The Mortal Instruments #3)","Cassandra Clare",Fantasy,4,Â£56.02,"In stock",https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html
"City of Fallen Angels (The Mortal Instruments #4)","Cassandra Clare",Default,4,Â£11.23,"In stock",https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
"City of Bones (The Mortal Instruments #1)","Cassandra Clare",Default,1,Â£43.28,"In stock",https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html
"City of Ashes (The Mortal Instruments #2)","Cassandra Clare",Default,1,Â£47.27,"In stock",https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html
Cell,"Bruce Alberts","Add a comment",4,Â£20.29,"In stock",https://books.toscrape.com/catalogue/cell_674/index.html
"Catching Jordan (Hundred Oaks)","Miranda Kenneally","Young Adult",3,Â£50.83,"In stock",https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
"Carry On, Warrior: Thoughts on Life Unarmed","Glennon Doyle, Glennon Doyle Melton",Default,3,Â£31.85,"In stock",https://books.toscrape.com/catalogue/carry-on-warrior-thoughts-on-life-unarmed_672/index.html
Carrie,"Stephen King",Default,2,Â£46.23,"In stock",https://books.toscrape.com/catalogue/carrie_671/index.html
"Buying In: The Secret Dialogue Between What We Buy and Who We Are","Rob Walker",Nonfiction,4,Â£37.80,"In stock",https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html
"Brain on Fire: My Month of Madness","Susannah Cahalan",Nonfiction,5,Â£49.32,"In stock",https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html
"Batman: Europa","Azzarello Brian","Sequential Art",2,Â£32.01,"In stock",https://books.toscrape.com/catalogue/batman-europa_668/index.html
"Barefoot Contessa Back to Basics","Ina Garten","Food and Drink",1,Â£28.01,"In stock",https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html
"Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again","Ina Garten","Food and Drink",5,Â£50.62,"In stock",https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html
"Balloon Animals"," Jonathan Dunne",Fiction,3,Â£17.03,"In stock",https://books.toscrape.com/catalogue/balloon-animals_665/index.html
"Art Ops Vol. 1","Reki Kawahara","Sequential Art",3,Â£48.80,"In stock",https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)","Benjamin Alire Sáenz","Young Adult",4,Â£58.14,"In stock",https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html
"Angels Walking (Angels Walking #1)","Karen Kingsbury","Add a comment",2,Â£34.20,"In stock",https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html
"Angels & Demons (Robert Langdon #1)","Dan Brown",Default,3,Â£51.48,"In stock",https://books.toscrape.com/catalogue/angels-demons-robert-langdon-1_661/index.html
"All the Light We Cannot See","Anthony Doerr",Historical,5,Â£29.87,"In stock",https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection","Sarah Andersen","Sequential Art",2,Â£10.90,"In stock",https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
"Abstract City","Christoph Niemann",Nonfiction,5,Â£56.37,"In stock",https://books.toscrape.com/catalogue/abstract-city_658/index.html
"A Time of Torment (Charlie Parker #14)","Charlie Parker",Mystery,5,Â£48.35,"In stock",https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
"A Study in Scarlet (Sherlock Holmes #1)","Arthur Doyle",Mystery,2,Â£16.73,"In stock",https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer","Mary Elizabeth Williams","Add a comment",2,Â£56.48,"In stock",https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html
"A People's History of the United States","Howard Zinn","Add a comment",2,Â£40.79,"In stock",https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html
"A Man Called Ove","Fredrik Backman",Fiction,1,Â£39.72,"In stock",https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
"A Distant Mirror: The Calamitous 14th Century","Barbara W. Tuchman",History,3,Â£14.58,"In stock",https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
"A Brush of Wings (Angels Walking #3)","White Eagle","Add a comment",1,Â£55.51,"In stock",https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html
"1491: New Revelations of the Americas Before Columbus","Charles C. Mann",History,3,Â£21.80,"In stock",https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
"The Three Searches, Meaning, and the Story","John H.T. Francis",Default,3,Â£13.33,"In stock",https://books.toscrape.com/catalogue/the-three-searches-meaning-and-the-story_649/index.html
"Searching for Meaning in Gailana","John H.T. Francis",Fantasy,1,Â£38.73,"In stock",https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html
Rook,"Daniel O'Malley","Add a comment",4,Â£37.86,"In stock",https://books.toscrape.com/catalogue/rook_647/index.html
"My Kitchen Year: 136 Recipes That Saved My Life","Ruth Reichl","Food and Drink",2,Â£11.53,"In stock",https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html
"13 Hours: The Inside Account of What Really Happened In Benghazi","MItchell Zuckoff",Nonfiction,1,Â£27.06,"In stock",https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
"Will You Won't You Want Me?","Nora Zelevansky","Womens Fiction",3,Â£13.86,"In stock",https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
"Tipping Point for Planet Earth: How Close Are We to the Edge?","Anthony D. Barnosky, Elizabeth A. Hadly",Science,1,Â£37.55,"In stock",https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html
"The Star-Touched Queen","Roshani Chokshi",Fantasy,5,Â£32.30,"In stock",https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html
"The Silent Sister (Riley MacPherson #1)","Diane Chamberlain",Fiction,5,Â£46.29,"In stock",https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
"The Midnight Watch: A Novel of the Titanic and the Californian","David Dyer","Add a comment",1,Â£26.20,"In stock",https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html
"The Lonely City: Adventures in the Art of Being Alone","Olivia Laing",Nonfiction,2,Â£33.26,"In stock",https://books.toscrape.com/catalogue/the-lonely-city-adventures-in-the-art-of-being-alone_639/index.html
"The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore","Michele Wucker","Add a comment",4,Â£59.15,"In stock",https://books.toscrape.com/catalogue/the-gray-rhino-how-to-recognize-and-act-on-the-obvious-dangers-we-ignore_638/index.html
"The Golden Condom: And Other Essays on Love Lost and Found","Jeanne Safer",Psychology,1,Â£39.43,"In stock",https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html
"The Epidemic (The Program 0.6)","United States. Surgeon-General's Office","Young Adult",5,Â£14.44,"In stock",https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
"The Dinner Party","Judy Chicago",Fiction,2,Â£56.54,"In stock",https://books.toscrape.com/catalogue/the-dinner-party_635/index.html
"The Diary of a Young Girl","Anne Frank",Nonfiction,3,Â£59.90,"In stock",https://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html
"The Children","Ann Leary","Add a comment",3,Â£11.88,"In stock",https://books.toscrape.com/catalogue/the-children_633/index.html
"Stars Above (The Lunar Chronicles #4.5)","Marissa Meyer","Young Adult",2,Â£48.05,"In stock",https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html
"Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas","Bruce Porter",Nonfiction,3,Â£21.21,"In stock",https://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html
"Raspberry Pi Electronics Projects for the Evil Genius","Donald Norris",Default,4,Â£49.67,"In stock",https://books.toscrape.com/catalogue/raspberry-pi-electronics-projects-for-the-evil-genius_630/index.html
"Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two","Jim Koch",Business,1,Â£43.14,"In stock",https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html
"Psycho: Sanitarium (Psycho #1.5)","Chet Williamson",Horror,5,Â£36.97,"In stock",https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html
"Poisonous (Max Revere Novels #3)","Allison Brennan",Mystery,3,Â£26.80,"In stock",https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
"One with You (Crossfire #5)","Sylvia Day","Add a comment",4,Â£15.71,"In stock",https://books.toscrape.com/catalogue/one-with-you-crossfire-5_626/index.html
"No Love Allowed (Dodge Cove #1)","Kate Evangelista","Young Adult",4,Â£54.65,"In stock",https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html
"Murder at the 42nd Street Library (Raymond Ambler #1)","Cornelius Lehane",Mystery,4,Â£54.36,"In stock",https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
"Most Wanted","John le Carre",Mystery,3,Â£35.28,"In stock",https://books.toscrape.com/catalogue/most-wanted_623/index.html
"Love, Lies and Spies","Cindy Anstey","Historical Fiction",2,Â£20.55,"In stock",https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
"How to Speak Golf: An Illustrated Guide to Links Lingo","Sally Cook, Ross MacDonald",Default,5,Â£58.32,"In stock",https://books.toscrape.com/catalogue/how-to-speak-golf-an-illustrated-guide-to-links-lingo_621/index.html
"Hide Away (Eve Duncan #20)","Iris Johansen",Mystery,1,Â£11.84,"In stock",https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
"Furiously Happy: A Funny Book About Horrible Things","Jenny Lawson",Nonfiction,4,Â£41.46,"In stock",https://books.toscrape.com/catalogue/furiously-happy-a-funny-book-about-horrible-things_619/index.html
"Everyday Italian: 125 Simple and Delicious Recipes","Giada De Laurentiis","Food and Drink",5,Â£20.10,"In stock",https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html
"Equal Is Unfair: America's Misguided Fight Against Income Inequality","Don Watkins, Yaron Brook",Politics,1,Â£56.86,"In stock",https://books.toscrape.com/catalogue/equal-is-unfair-americas-misguided-fight-against-income-inequality_617/index.html
"Eleanor & Park","Rainbow Rowell",Default,5,Â£56.51,"In stock",https://books.toscrape.com/catalogue/eleanor-park_616/index.html
"Dirty (Dive Bar #1)","Kylie Scott",Romance,4,Â£40.83,"In stock",https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
"Can You Keep a Secret? (Fear Street Relaunch #4)","R. L. Stine",Horror,1,Â£48.64,"In stock",https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html
"Boar Island (Anna Pigeon #19)"," Nevada Barr",Mystery,3,Â£59.48,"In stock",https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
"A Paris Apartment","Michelle Gable","Historical Fiction",4,Â£39.01,"In stock",https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
